time,price
Jan-17,80.41
Feb-17,89.44
Mar-17,87.65
Apr-17,70.22
May-17,62.43
Jun-17,57.48
Jul-17,67.74
Aug-17,76.07
Sep-17,71.53
Oct-17,61.66
Nov-17,64.24
Dec-17,72.25
Jan-18,76.34
Feb-18,77.46
Mar-18,70.35
Apr-18,65.75
May-18,66.1
Jun-18,65.04
Jul-18,64.56
Aug-18,67.15
Sep-18,68.44
Oct-18,73.41
Nov-18,73.26
Dec-18,69.16
Jan-19,76.16
Feb-19,88.22
Mar-19,86.47
Apr-19,93.7
May-19,100.15
Jun-19,108.94
Jul-19,120.24
Aug-19,93.07
Sep-19,93.08
